name,website,X,Facebook
"Panetta, Jimmy",https://panetta.house.gov,http://twitter.com/RepJimmyPanetta,http://www.facebook.com/RepJimmyPanetta/
"Pappas, Chris",https://pappas.house.gov,,
"Pelosi, Nancy",https://pelosi.house.gov/,http://twitter.com/speakerpelosi,
"Pettersen, Brittany",https://pettersen.house.gov,https://twitter.com/reppettersen,https://facebook.com/repbrittanypettersen
"Patronis, Jimmy",https://patronis.house.gov/,https://twitter.com/patronisfl,https://www.facebook.com/profile.php?id=61577293801543
"Perez, Marie",https://gluesenkampperez.house.gov,https://twitter.com/repmgp,https://www.facebook.com/RepMGP/
"Peters, Scott",https://scottpeters.house.gov,https://twitter.com/RepScottPeters,https://www.facebook.com/RepScottPeters/
"Plaskett, Stacey",https://plaskett.house.gov/,https://twitter.com/staceyplaskett,https://www.facebook.com/repstaceyplaskett
"Pfluger, August",https://pfluger.house.gov,https://x.com/RepPfluger,https://www.facebook.com/RepAugustPfluger
"Perry, Scott",https://perry.house.gov/,https://twitter.com/repscottperry,https://facebook.com/repscottperry
"Pocan, Mark",https://pocan.house.gov,,
"Pingree, Chellie",https://pingree.house.gov/,https://twitter.com/chelliepingree,https://www.facebook.com/pages/Chellie-Pingree/91529332807
"Pressley, Ayanna",https://pressley.house.gov,https://twitter.com/RepPressley,https://www.facebook.com/RepAyannaPressley
"Quigley, Mike",https://quigley.house.gov/,,
"Reschenthaler, Guy",https://reschenthaler.house.gov/,https://twitter.com/GReschenthaler,https://www.facebook.com/GReschenthaler/
"Pou, Nellie",https://pou.house.gov/,https://twitter.com/RepNellie?ref_src=twsrc%5Etfw,https://www.facebook.com/61575338036913/
"Raskin, Jamie",https://raskin.house.gov,https://twitter.com/RepRaskin,https://www.facebook.com/RepRaskin/
"Riley, Josh",https://riley.house.gov/,https://x.com/RepRileyNY,https://www.facebook.com/RepRileyNY
"Ramirez, Delia",https://ramirez.house.gov,https://twitter.com/repdeliaramirez,https://www.facebook.com/repdeliaramirez/
"Radewagen, Aumua Amata",https://radewagen.house.gov,https://x.com/repamata,https://www.facebook.com/aumuaamata
"Randall, Emily",https://randall.house.gov/,,
"Rivas, Luz",https://rivas.house.gov/,https://twitter.com/RepLuzRivas,https://www.facebook.com/congresswomanluzrivas
"Rogers, Mike",https://mikerogers.house.gov/,https://twitter.com/repmikerogersal,https://www.facebook.com/CongressmanMikeDRogers/
