name,website,district,state,region_category,party,committee
"Strong, Dale",https://strong.house.gov,Alabama 5th,Alabama,state,R,Appropriations|Homeland Security
"Stutzman, Marlin",https://stutzman.house.gov/,Indiana 3rd,Indiana,state,R,Financial Services|Budget
"Subramanyam, Suhas",https://subramanyam.house.gov/,Virginia 10th,Virginia,state,D,"Oversight and Government Reform|Ethics|Science, Space, and Technology"
"Suozzi, Thomas R.",https://suozzi.house.gov,New York 3rd,New York,state,D,Ways and Means
"Swalwell, Eric",https://swalwell.house.gov,California 14th,California,state,D,"Homeland Security|Judiciary|Select Subcomm to Investigate Questions about Jan 6, 2021"
"Sykes, Emilia",https://sykes.house.gov,Ohio 13th,Ohio,state,D,"Transportation and Infrastructure|Science, Space, and Technology"
"Takano, Mark",https://takano.house.gov,California 39th,California,state,D,Education and Workforce|Veterans' Affairs
"Taylor, David",https://taylor.house.gov/,Ohio 2nd,Ohio,state,R,Agriculture|Transportation and Infrastructure
"Tenney, Claudia",https://tenney.house.gov/,New York 24th,New York,state,R,"Intelligence|Science, Space, and Technology|Ways and Means"
"Thanedar, Shri",https://thanedar.house.gov,Michigan 13th,Michigan,state,D,Agriculture|Homeland Security
"Thompson, Bennie",https://benniethompson.house.gov/,Mississippi 2nd,Mississippi,state,D,Homeland Security
"Thompson, Glenn",https://thompson.house.gov,Pennsylvania 15th,Pennsylvania,state,R,Agriculture|Education and Workforce
"Thompson, Mike",https://mikethompson.house.gov/,California 4th,California,state,D,Ways and Means
"Tiffany, Thomas",https://tiffany.house.gov/,Wisconsin 7th,Wisconsin,state,R,Natural Resources|Judiciary
"Timmons, William",https://timmons.house.gov/,South Carolina 4th,South Carolina,state,R,Financial Services|Oversight and Government Reform
"Titus, Dina",https://titus.house.gov/,Nevada 1st,Nevada,state,D,Foreign Affairs|Transportation and Infrastructure
"Tlaib, Rashida",https://tlaib.house.gov/,Michigan 12th,Michigan,state,D,Financial Services|Oversight and Government Reform
"Tokuda, Jill",https://tokuda.house.gov,Hawaii 2nd,Hawaii,state,D,Agriculture|Armed Services|Select Comm on the Strategic Competition US and China
"Tonko, Paul",https://tonko.house.gov/,New York 20th,New York,state,D,Budget|Energy and Commerce
"Torres, Norma",https://torres.house.gov/,California 35th,California,state,D,Appropriations|House Administration
"Torres, Ritchie",https://ritchietorres.house.gov,New York 15th,New York,state,D,Financial Services|Select Comm on the Strategic Competition US and China
"Trahan, Lori",https://trahan.house.gov,Massachusetts 3rd,Massachusetts,state,D,Energy and Commerce
"Tran, Derek",https://tran.house.gov/,California 45th,California,state,D,Armed Services|Small Business
"Turner, Michael",https://turner.house.gov/,Ohio 10th,Ohio,state,R,Armed Services|Oversight and Government Reform
"Underwood, Lauren",https://underwood.house.gov/,Illinois 14th,Illinois,state,D,Appropriations
"Valadao, David",https://valadao.house.gov,California 22nd,California,state,R,Appropriations|Joint Committee of Congress on the Library
"Van Drew, Jefferson",https://vandrew.house.gov,New Jersey 2nd,New Jersey,state,R,Judiciary|Transportation and Infrastructure
"Van Duyne, Beth",https://vanduyne.house.gov,Texas 24th,Texas,state,R,Small Business|Ways and Means
"Van Epps, Matt",https://vanepps.house.gov/,Tennessee 7th,Tennessee,state,R,"Homeland Security|Science, Space, and Technology"
"Van Orden, Derrick",https://vanorden.house.gov,Wisconsin 3rd,Wisconsin,state,R,Agriculture|Armed Services|Veterans' Affairs
"Vargas, Juan",https://vargas.house.gov,California 52nd,California,state,D,Financial Services
"Vasquez, Gabe",https://vasquez.house.gov,New Mexico 2nd,New Mexico,state,D,Agriculture|Armed Services
"Veasey, Marc",https://veasey.house.gov,Texas 33rd,Texas,state,D,Energy and Commerce
"Velazquez, Nydia",https://velazquez.house.gov,New York 7th,New York,state,D,Financial Services|Small Business
"Vindman, Eugene",https://vindman.house.gov/,Virginia 7th,Virginia,state,D,Agriculture|Armed Services
"Wagner, Ann",https://wagner.house.gov,Missouri 2nd,Missouri,state,R,Financial Services|Intelligence
"Walberg, Tim",https://walberg.house.gov/,Michigan 5th,Michigan,state,R,Education and Workforce|Natural Resources
"Walkinshaw, James",https://walkinshaw.house.gov/,Virginia 11th,Virginia,state,D,Oversight and Government Reform|Homeland Security
"Wasserman Schultz, Debbie",https://wassermanschultz.house.gov/,Florida 25th,Florida,state,D,Appropriations
